id,ID_COSMOS,redshift,chimera_QSO_weight,resample_weight,log_stellar_mass_truth,MASS_MED_GAL,u_sdss,u_sdss_err,r_sdss,r_sdss_err,i_sdss,i_sdss_err,z_sdss,z_sdss_err,J_2mass,J_2mass_err,H_2mass,H_2mass_err,Ks_2mass,Ks_2mass_err,spitzer.irac.I1,spitzer.irac.I1_err,spitzer.irac.I2,spitzer.irac.I2_err,NUMBER,ALPHA_J2000,DELTA_J2000,zcosmos_row,sky_sep_arcsec,zcosmos_file,zcosmos_original_file,zcosmos_object_id,zcosmos_alpha,zcosmos_delta,zcosmos_snr,zcosmos_reference,zcosmos_redshift,delta_redshift_chimera_minus_zcosmos
075435.79+251803.4_534598_0.003,534598,0.6629999876022339,0.003,15.0,9.20404,9.20404,0.0014411471784114838,3.234316682210192e-05,0.0024239185731858015,5.850486195413396e-05,0.0035061505623161793,5.912609412916936e-05,0.003903874196112156,7.461175846401602e-05,0.004149936605244875,0.00022251623158808798,,,,,0.004561747889965773,9.697579662315547e-05,0.004064006265252829,0.00013361639867071062,534598,150.26904515308814,2.113426926183059,17042,0.010396252204648094,ADP.2015-10-15T12_59_40.813.fits,zCOSMOS_BRIGHT_DR3_000700517_ZCMRa64_M1_Q2_29_1.fits,700517,150.269043,2.113425,1.708756218750546,2009ApJS..184..218L,,
015945.49+141023.6_561543_0.001,561543,0.5192000269889832,0.001,359.0,10.3976,10.3976,0.00017448939615860581,1.8966002244269475e-05,0.002504245610907674,6.175527960294858e-05,0.005143824033439159,7.010422268649563e-05,0.009459164924919605,8.104162407107651e-05,0.016951793804764748,0.00013333678361959755,,,,,0.035562410950660706,0.00025002387701533735,0.027232656255364418,0.0003127616364508867,561543,150.09741423180063,2.1534258554858186,5503,0.010444175801615718,ADP.2015-10-15T12_50_13.197.fits,zCOSMOS_BRIGHT_DR3_000824846_ZCMRa64_M1_Q3_13_1.fits,824846,150.097412,2.153424,3.312690579892823,2009ApJS..184..218L,,
025026.66+000903.3_691226_0.3,691226,0.5971999764442444,0.3,111.0,9.48008,9.48008,0.005809866823256016,0.0005580325960181653,0.043607622385025024,0.0011035387869924307,0.02935805730521679,0.000515677616931498,0.0505056232213974,0.0015600710175931454,0.0750318393111229,0.01223951205611229,0.08514821529388428,0.020084165036678314,0.1443965584039688,0.01971590146422386,0.307226300239563,0.008673016913235188,0.5602646470069885,0.015011648647487164,691226,150.08008086165046,2.346729860313816,6050,0.010749152262896635,ADP.2015-10-15T12_50_34.467.fits,zCOSMOS_BRIGHT_DR3_000831861_ZCMRa47_M2_Q1_7_1.fits,831861,150.080078,2.346729,2.416498715153157,2009ApJS..184..218L,,
095553.14+633742.7_605313_0.1,605313,0.3587000072002411,0.1,350.0,10.1223,10.1223,0.010334063321352005,0.00021876611572224647,0.026792284101247787,0.0002753914741333574,0.03209088742733002,0.00023769451945554465,0.05006710812449455,0.00047547652502544224,,,0.09637220948934555,0.009040399454534054,,,0.08429625630378723,0.0013613220071420074,0.09701398015022278,0.0022135169710963964,605313,150.24989347450128,2.2170359746299746,9169,0.01084385377445979,ADP.2015-10-15T12_53_18.150.fits,zCOSMOS_BRIGHT_DR3_000824119_ZCMRa55_M1_Q2_33_1.fits,824119,150.249893,2.217033,7.804859984760123,2009ApJS..184..218L,,
022959.58+004632.0_783260_1,783260,0.77920001745224,1.0,1.0,8.86413,8.86413,0.017445631325244904,0.0013873944990336895,0.03588547557592392,0.0011384186800569296,0.02653270587325096,0.000892798590939492,0.044327788054943085,0.00341979437507689,0.12168069928884506,0.045405011624097824,,,0.27660876512527466,0.07523442059755325,0.12760019302368164,0.00889615062624216,0.23600681126117706,0.020345425233244896,783260,150.20512491385853,2.4881388984682897,13822,0.010939902969897856,ADP.2015-10-15T12_56_47.973.fits,zCOSMOS_BRIGHT_DR3_000838357_ZCMRa69_M1_Q4_30_2.fits,838357,150.205124,2.488136,1.791287029311938,2009ApJS..184..218L,,
155123.21+130701.2_258666_0.03,258666,0.6740999817848206,0.03,7.0,10.8,10.8,0.0025354360695928335,7.778461440466344e-05,0.004926200956106186,7.061453652568161e-05,0.0090196393430233,9.007072367239743e-05,0.014926586300134659,0.0001314000110141933,0.02852754481136799,0.0019318340346217155,0.04152475297451019,0.0022007168736308813,,,0.056330110877752304,0.0004660964186768979,0.04370731860399246,0.0006622798391617835,258666,150.3655684864859,1.674919846803179,18050,0.011605774810007786,ADP.2015-10-15T13_00_32.300.fits,zCOSMOS_BRIGHT_DR3_000804506_ZCMRa81_M2_Q4_8_1.fits,804506,150.36557,1.674917,3.536017152065506,2009ApJS..184..218L,,
150118.32+155623.0_540419_1,540419,0.32260000705718994,1.0,2.0,10.65,10.65,0.26198384165763855,0.005288694519549608,0.2606268525123596,0.0034583385568112135,0.3455624580383301,0.0030892135109752417,0.5588156580924988,0.00867739412933588,0.4844953417778015,0.04858088120818138,,,0.5786726474761963,0.08388712257146835,1.0776751041412354,0.025508644059300423,1.5102678537368774,0.037370409816503525,540419,150.32799115278547,2.118999738495165,3055,0.011649681041106547,ADP.2015-10-15T12_47_49.527.fits,zCOSMOS_BRIGHT_DR3_000817483_ZCMRa74_M1_Q3_16_1.fits,817483,150.327988,2.118999,10.43696006796323,2009ApJS..184..218L,,
032838.28-000341.6_535041_1,535041,0.3109000027179718,1.0,5.0,10.1501,10.1501,0.031328000128269196,0.00242584478110075,0.1326943188905716,0.002881503663957119,0.1240532174706459,0.0020102569833397865,0.31592893600463867,0.008155692368745804,0.23732244968414307,0.06604234129190445,0.38166698813438416,0.10155239701271057,0.647785484790802,0.11414545029401779,2.049006700515747,0.04652046039700508,3.5634100437164307,0.07855968177318573,535041,149.63638163607067,2.1118839952190434,9607,0.011846742933671538,ADP.2015-10-15T12_53_39.820.fits,zCOSMOS_BRIGHT_DR3_000820455_ZCMRa15_M1_Q1_9_6.fits,820455,149.636383,2.111881,10.9181145466892,2009ApJS..184..218L,,
081100.60+571412.4_494299_0.3,494299,0.6151000261306763,0.3,2142.0,9.51811,9.51811,0.06515929847955704,0.0012487609637901187,0.09721235185861588,0.0016584283439442515,0.09489019960165024,0.0014197650598362088,0.08673565089702606,0.001795126125216484,0.07659248262643814,0.013813785277307034,0.1398272067308426,0.018175659701228142,0.13156287372112274,0.026285499334335327,0.3793344795703888,0.008995923213660717,0.663418173789978,0.015934601426124573,494299,150.73712189165937,2.051028468522158,444,0.012719293887563578,ADP.2015-10-15T12_45_09.677.fits,zCOSMOS_BRIGHT_DR3_000815419_ZCMRa95_M1_Q1_29_1.fits,815419,150.737122,2.051032,1.737850972138473,2009ApJS..184..218L,,
084205.57+075925.5_349593_1,349593,0.12729999423027039,1.0,31.0,7.95679,7.95679,0.24279583990573883,0.003822825150564313,1.1594467163085938,0.017169006168842316,0.5073836445808411,0.00936680193990469,0.7656490802764893,0.012014893814921379,1.3277475833892822,0.06491052359342575,1.8833858966827393,0.1231953576207161,4.993272304534912,0.1539507806301117,6.387457847595215,0.1547718197107315,11.717906951904297,0.2288237065076828,349593,149.5804424310863,1.8204132356884841,9686,0.0129443336107309,ADP.2015-10-15T12_53_41.307.fits,zCOSMOS_BRIGHT_DR3_000814341_ZCMRa11_M1_Q3_15_1.fits,814341,149.580444,1.82041,2.245481119619631,2009ApJS..184..218L,,
144647.22+320949.2_608990_0.1,608990,0.7269999980926514,0.1,6.0,9.85216,9.85216,0.015324591659009457,0.00022449508833233267,0.021124426275491714,0.0002766790275927633,0.026100710034370422,0.00027306994888931513,0.02952435612678528,0.0004417983000166714,0.027562040835618973,0.005311944056302309,0.034285768866539,0.005181192886084318,0.0545923188328743,0.008112071081995964,0.04419548064470291,0.00104752357583493,0.05596519261598587,0.0019067086977884173,608990,150.24505862699888,2.223767453095309,19626,0.013167073760893532,ADP.2015-10-15T13_01_52.437.fits,zCOSMOS_BRIGHT_DR3_000824135_ZCMRa55_M1_Q2_29_1.fits,824135,150.245056,2.22377,4.347014208501999,2009ApJS..184..218L,,
082746.63+224758.4_760898_0.01,760898,0.7447999715805054,0.01,98.0,10.5531,10.5531,0.0015930745285004377,5.1112365326844156e-05,0.0028107333928346634,4.911803989671171e-05,0.005533410701900721,6.964134081499651e-05,0.008779903873801231,8.640606392873451e-05,0.013705840334296227,0.0005469408934004605,,,0.028048168867826462,0.001158421509899199,0.031209375709295273,0.00032988176099024713,0.026347272098064423,0.0003603796649258584,760898,149.6951773175463,2.4525568468206425,12905,0.013210368302894106,ADP.2015-10-15T12_55_58.790.fits,zCOSMOS_BRIGHT_DR3_000833879_ZCMRa28_M1_Q4_10_1.fits,833879,149.695175,2.452554,2.619824854267898,2009ApJS..184..218L,,
025119.79-004831.7_272490_0.1,272490,0.5561000108718872,0.1,69.0,9.57508,9.57508,0.0024317041970789433,0.00020634863176383078,0.010011120699346066,0.000176695961272344,0.007561678998172283,0.0001184346474474296,0.01364116556942463,0.0003979230241384357,,,0.044065073132514954,0.00735750375315547,0.07155204564332962,0.008964953012764454,0.14704306423664093,0.003627242986112833,0.31001991033554077,0.007082447409629822,272490,150.43789940243667,1.6981110951656082,18114,0.013568082649114374,ADP.2015-10-15T13_00_36.163.fits,zCOSMOS_BRIGHT_DR3_000804198_ZCMRa71_M2_Q1_5_1.fits,804198,150.437897,1.698114,1.149245503216581,2009ApJS..184..218L,,
073718.67+290921.6_844177_0.03,844177,0.4034000039100647,0.03,1.0,9.18008,9.18008,0.0019504348747432232,6.703343387925997e-05,0.008371170610189438,0.000122141107567586,0.007664564065635204,9.306295396527275e-05,0.013677031733095646,0.00020035736088175327,0.013282503932714462,0.0009793530916795135,0.01339663378894329,0.0014794248854741454,0.013708529993891716,0.002163604134693742,0.01985614001750946,0.0005057643866166472,0.0275177750736475,0.0008678047452121973,844177,149.6413536653533,2.5794719667303654,274,0.01404993393527121,ADP.2015-10-15T12_44_54.537.fits,zCOSMOS_BRIGHT_DR3_000841343_ZCMRa19_M2_Q1_4_2.fits,841343,149.641357,2.579474,2.920908088235728,2009ApJS..184..218L,,
023204.15+003301.6_619622_0.03,619622,0.9243000149726868,0.03,7.0,9.39398,9.39398,0.006758259143680334,0.00012721895473077893,0.007899905554950237,9.887224587146193e-05,0.009813862852752209,0.00011235706188017502,0.010613907128572464,0.00017916454817168415,0.011959001421928406,0.0012205052189528942,0.011741433292627335,0.0016926915850490332,0.013855038210749626,0.00236900569871068,0.014760814607143402,0.00037366285687312484,0.0210765041410923,0.0007083795499056578,619622,150.2685275000895,2.2407777788527112,9457,0.014125684167908364,ADP.2015-10-15T12_53_35.763.fits,zCOSMOS_BRIGHT_DR3_000824048_ZCMRa66_M1_Q1_10_1.fits,824048,150.268524,2.240776,2.491197838966599,2009ApJS..184..218L,,
075057.26+353037.6_622769_0.03,622769,0.18539999425411224,0.03,1.0,9.40491,9.40491,0.00848233699798584,7.381918840110302e-05,0.03665677085518837,0.009239059872925282,0.04166722297668457,0.003006820334121585,0.055339083075523376,0.043523143976926804,0.21545174717903137,0.00930379144847393,0.23747804760932922,0.009943202137947083,0.22199606895446777,0.011270652525126934,0.4377915561199188,0.008721071295440197,0.3578065037727356,0.006783646997064352,622769,150.34549132831341,2.243176739875259,2188,0.014286322460041675,ADP.2015-10-15T12_46_48.050.fits,zCOSMOS_BRIGHT_DR3_000823717_ZCMRa75_M1_Q3_23_1.fits,823717,150.34549,2.243173,14.9679969234148,2009ApJS..184..218L,,
034621.27-000141.5_758688_0.3,758688,0.6814000010490417,0.3,1.0,9.82923,9.82923,0.006970840040594339,0.0010052825091406703,0.014993257820606232,0.004064478445798159,0.015165181830525398,0.0016014960128813982,0.023348810151219368,0.006819488946348429,0.1314430683851242,0.013008425943553448,0.14727553725242615,0.02011164464056492,0.16240885853767395,0.02592938393354416,0.17774194478988647,0.004976856987923384,0.17572656273841858,0.006764031480997801,758688,149.57297081468818,2.4496291779606816,17167,0.014342240352355214,ADP.2015-10-15T12_59_43.630.fits,zCOSMOS_BRIGHT_DR3_000834519_ZCMRa17_M1_Q3_21_1.fits,834519,149.572968,2.449632,3.648301226656346,2009ApJS..184..218L,,
075348.69+370520.3_356946_1,356946,0.5874999761581421,1.0,11.0,9.37838,9.37838,0.030623851343989372,0.0012899214634671807,0.12786343693733215,0.0016304036835208535,0.08968255668878555,0.001121722743846476,0.12245149910449982,0.0043134503066539764,0.3267662525177002,0.08027539402246475,0.3370603322982788,0.1026754304766655,0.6030765771865845,0.10626768320798874,0.5938799977302551,0.018170714378356934,0.8179993033409119,0.026674967259168625,356946,150.39135298743048,1.8324048915990394,14584,0.014443136495810078,ADP.2015-10-15T12_57_24.820.fits,zCOSMOS_BRIGHT_DR3_000810768_ZCMRa73_M1_Q1_36_1.fits,810768,150.391357,1.832405,2.83189928552369,2009ApJS..184..218L,,
144017.02+285608.7_826051_0.3,826051,0.3228999972343445,0.3,29.0,9.12002,9.12002,0.004849893040955067,0.00044762666220776737,0.047377780079841614,0.0006650146679021418,0.04500380530953407,0.0006147967651486397,0.12138187140226364,0.002370120259001851,0.14098188281059265,0.013905314728617668,0.20931075513362885,0.019698912277817726,0.3602704405784607,0.023444870486855507,0.4934537708759308,0.011836349964141846,0.794587254524231,0.01765243522822857,826051,150.12349126730587,2.5526416819869113,19814,0.014462723813076827,ADP.2015-10-15T13_02_03.227.fits,zCOSMOS_BRIGHT_DR3_000838831_ZCMRa48_M2_Q2_28_1.fits,838831,150.123489,2.552645,1.752406927361907,2009ApJS..184..218L,,
142748.28+050222.0_538989_0.001,538989,0.0997999981045723,0.001,6.0,9.85,9.85,0.007811722345650196,2.6603003789205104e-05,0.07263315469026566,0.0003116007137577981,0.1025284081697464,0.00028110641869716346,0.15764053165912628,0.0001158650266006589,0.2101833075284958,0.00013992477033752948,0.2625340521335602,0.0006076472927816212,0.26035138964653015,0.000796957581769675,0.15559345483779907,0.0006059877923689783,0.11229334026575089,0.00046084800851531327,538989,150.40034218368558,2.1163851004633836,6465,0.014546905714416108,ADP.2015-10-15T12_51_06.163.fits,zCOSMOS_BRIGHT_DR3_000817121_ZCMRa74_M2_Q2_19_1.fits,817121,150.400345,2.116388,24.88773051945528,2009ApJS..184..218L,,
033211.85+002430.9_280119_1,280119,0.5174999833106995,1.0,59.0,9.71082,9.71082,0.05597317963838577,0.0026762844063341618,0.1203928291797638,0.0023404413368552923,0.0917208343744278,0.0016267208848148584,0.13482490181922913,0.005206780508160591,0.3364317715167999,0.07483390718698502,0.5414873361587524,0.08975536376237869,,,0.7311728596687317,0.020694274455308914,0.940617561340332,0.02859172411262989,280119,149.7315357670809,1.7095118630545478,19294,0.01459751264091188,ADP.2015-10-15T13_01_38.697.fits,zCOSMOS_BRIGHT_DR3_000807365_ZCMRa11_M2_Q1_4_2.fits,807365,149.731537,1.709508,6.124003885037974,2009ApJS..184..218L,,
023342.57-074325.8_601996_0.003,601996,0.4627000093460083,0.003,76.0,9.43352,9.43352,0.0030769952572882175,3.741209366125986e-05,0.00826356839388609,0.00010151232709176838,0.009823927655816078,9.446968033444136e-05,0.013171220198273659,8.30242715892382e-05,0.01372276060283184,0.00020089957979507744,0.015992866829037666,0.0006737604853697121,0.017590763047337532,0.0007684342563152313,0.013939772732555866,0.00014088526950217783,0.014342283830046654,0.00017315072182100266,601996,150.70291407516427,2.21344501706475,7010,0.01541726288471087,ADP.2015-10-15T12_51_27.200.fits,zCOSMOS_BRIGHT_DR3_000821905_ZCMRa96_M1_Q1_15_2.fits,821905,150.702911,2.213448,6.230613541003882,2009ApJS..184..218L,,
081250.86+360039.9_524957_0.3,524957,0.6676999926567078,0.3,9.0,10.146,10.146,0.008301002904772758,0.00045727513497695327,0.017301570624113083,0.00046352078788913786,0.01947547122836113,0.0003588919062167406,0.027284791693091393,0.0009742986876517534,,,,,0.10513673722743988,0.022061064839363098,0.21799899637699127,0.005936074536293745,0.3541243076324463,0.010058676823973656,524957,149.97190776264785,2.0976338504337138,3398,0.015587579945480259,ADP.2015-10-15T12_48_08.477.fits,zCOSMOS_BRIGHT_DR3_000819120_ZCMRa55_M1_Q4_20_1.fits,819120,149.971909,2.097638,3.622612013785687,2009ApJS..184..218L,,
021259.59-003029.4_274752_0.03,274752,0.39340001344680786,0.03,358.0,9.6902,9.6902,0.010672057047486305,0.0001693458470981568,0.019310995936393738,0.0002048030582955107,0.019893743097782135,0.00017806961841415614,0.030104447156190872,0.0002457160735502839,0.028719425201416016,0.0011626746272668242,0.037480294704437256,0.0020391959697008133,0.045747578144073486,0.0023853250313550234,0.035864438861608505,0.0005493802018463612,0.044865094125270844,0.0009262771927751601,274752,149.6432198879371,1.7004603299374652,4140,0.01591187640946529,ADP.2015-10-15T12_48_46.100.fits,zCOSMOS_BRIGHT_DR3_000807745_ZCMRa11_M1_Q1_7_1.fits,807745,149.643219,1.700456,0.9665302785875511,2009ApJS..184..218L,,
073028.10+435330.8_610180_0.03,610180,0.275299996137619,0.03,9.0,8.9285,8.9285,0.0049779340624809265,0.00010221870616078377,0.009596738964319229,0.00012244180834386498,0.010894649662077427,0.00016103828966151923,0.014926379546523094,0.00019466500089038163,,,,,0.019188402220606804,0.0020675354171544313,0.020692236721515656,0.000565446971450001,0.028783239424228668,0.0008812975720502436,610180,149.98905779744467,2.2260726736794716,1549,0.01616436351081408,ADP.2015-10-15T12_46_12.000.fits,zCOSMOS_BRIGHT_DR3_000825446_ZCMRa55_M1_Q3_35_1.fits,825446,149.989059,2.226077,5.147241467455903,2009ApJS..184..218L,,
034509.25-071802.4_355701_0.01,355701,0.8357999920845032,0.01,6.0,10.5486,10.5486,0.0014042772818356752,4.631405681720935e-05,0.0026749754324555397,5.7016532082343474e-05,0.005516126286238432,7.093999010976404e-05,0.009217058308422565,9.934820991475135e-05,0.014939012005925179,0.0004022358625661582,0.018494633957743645,0.0008697120356373489,0.025489728897809982,0.001313470071181655,0.02877471037209034,0.00021271881996653974,0.02129744552075863,0.00023918571241665632,355701,149.71499626874098,1.8294214917278353,13864,0.016199106793671616,ADP.2015-10-15T12_56_49.663.fits,zCOSMOS_BRIGHT_DR3_000813770_ZCMRa33_M2_Q4_37_1.fits,813770,149.714996,1.829417,2.210502011706708,2009ApJS..184..218L,,
074645.04+314149.3_513848_0.3,513848,0.3237999975681305,0.3,1.0,10.4127,10.4127,0.08304361253976822,0.0013027546228840947,0.11753150820732117,0.0013970800209790468,0.13646024465560913,0.0014028253499418497,0.19904324412345886,0.0022432052064687014,0.15521806478500366,0.01292016264051199,0.19687828421592712,0.018451036885380745,0.23586514592170715,0.020946845412254333,0.24333491921424866,0.005579013377428055,0.3325214982032776,0.009167649783194065,513848,150.52464387334214,2.077669434451431,6030,0.01627028094690572,ADP.2015-10-15T12_50_33.567.fits,zCOSMOS_BRIGHT_DR3_000816354_ZCMRa83_M1_Q2_1_1.fits,816354,150.524643,2.077665,12.9226761314576,2009ApJS..184..218L,,
